20200819	DDD	3D Systems Corporation	industry	Computer Peripherals
20200819	DDD	3D Systems Corporation	sector	Technology
20200819	DDD	3D Systems Corporation	price	5.56
20200819	DDD	3D Systems Corporation	Prev. Close	5.56
20200819	DDD	3D Systems Corporation	Day's Range	5.52 - 5.82
20200819	DDD	3D Systems Corporation	Revenue	566.61M
20200819	DDD	3D Systems Corporation	Open	5.8
20200819	DDD	3D Systems Corporation	52 wk Range	5.2 - 12.56
20200819	DDD	3D Systems Corporation	EPS	 - 0.68
20200819	DDD	3D Systems Corporation	Volume	3049917
20200819	DDD	3D Systems Corporation	Market Cap	665.58M
20200819	DDD	3D Systems Corporation	Dividend (Yield)	N/A (N/A)
20200819	DDD	3D Systems Corporation	Average Vol. (3m)	2138847
20200819	DDD	3D Systems Corporation	P/E Ratio	N/A
20200819	DDD	3D Systems Corporation	Beta	1.63
20200819	DDD	3D Systems Corporation	1-Year Change	 - 20.34%
20200819	DDD	3D Systems Corporation	Shares Outstanding	119708056
20200819	DDD	3D Systems Corporation	Next Earnings Date	Nov 03 2020
20200819	MMM	3M Company	industry	Constr. - Supplies & Fixtures
20200819	MMM	3M Company	sector	Capital Goods
20200819	MMM	3M Company	price	164.38
20200819	MMM	3M Company	Prev. Close	164.38
20200819	MMM	3M Company	Day's Range	163.76 - 165.44
20200819	MMM	3M Company	Revenue	31.35B
20200819	MMM	3M Company	Open	164.43
20200819	MMM	3M Company	52 wk Range	114.04 - 182.54
20200819	MMM	3M Company	EPS	8.82
20200819	MMM	3M Company	Volume	1519440
20200819	MMM	3M Company	Market Cap	94.69B
20200819	MMM	3M Company	Dividend (Yield)	5.88 (3.57%)
20200819	MMM	3M Company	Average Vol. (3m)	3005926
20200819	MMM	3M Company	P/E Ratio	18.83
20200819	MMM	3M Company	Beta	0.98
20200819	MMM	3M Company	1-Year Change	0.88%
20200819	MMM	3M Company	Shares Outstanding	576019442
20200819	MMM	3M Company	Next Earnings Date	Oct 27 2020
20200819	AAON	AAON Inc	industry	Misc. Capital Goods
20200819	AAON	AAON Inc	sector	Capital Goods
20200819	AAON	AAON Inc	price	59.76
20200819	AAON	AAON Inc	Prev. Close	59.76
20200819	AAON	AAON Inc	Day's Range	59.27 - 60.06
20200819	AAON	AAON Inc	Revenue	499.15M
20200819	AAON	AAON Inc	Open	59.52
20200819	AAON	AAON Inc	52 wk Range	40.48 - 61.09
20200819	AAON	AAON Inc	EPS	1.32
20200819	AAON	AAON Inc	Volume	145163
20200819	AAON	AAON Inc	Market Cap	3.12B
20200819	AAON	AAON Inc	Dividend (Yield)	0.38 (0.64%)
20200819	AAON	AAON Inc	Average Vol. (3m)	210634
20200819	AAON	AAON Inc	P/E Ratio	43.8
20200819	AAON	AAON Inc	Beta	0.72
20200819	AAON	AAON Inc	1-Year Change	26.13%
20200819	AAON	AAON Inc	Shares Outstanding	52261676
20200819	AAON	AAON Inc	Next Earnings Date	Oct 29 2020
20200819	ABT	Abbott Laboratories	industry	Medical Equipment & Supplies
20200819	ABT	Abbott Laboratories	sector	Healthcare
20200819	ABT	Abbott Laboratories	price	100.96
20200819	ABT	Abbott Laboratories	Prev. Close	100.96
20200819	ABT	Abbott Laboratories	Day's Range	100.43 - 101.72
20200819	ABT	Abbott Laboratories	Revenue	31.44B
20200819	ABT	Abbott Laboratories	Open	101.09
20200819	ABT	Abbott Laboratories	52 wk Range	61.61 - 102.89
20200819	ABT	Abbott Laboratories	EPS	1.73
20200819	ABT	Abbott Laboratories	Volume	3777618
20200819	ABT	Abbott Laboratories	Market Cap	178.75B
20200819	ABT	Abbott Laboratories	Dividend (Yield)	1.44 (1.43%)
20200819	ABT	Abbott Laboratories	Average Vol. (3m)	5338571
20200819	ABT	Abbott Laboratories	P/E Ratio	57.84
20200819	ABT	Abbott Laboratories	Beta	0.93
20200819	ABT	Abbott Laboratories	1-Year Change	18%
20200819	ABT	Abbott Laboratories	Shares Outstanding	1770529999
20200819	ABT	Abbott Laboratories	Next Earnings Date	Oct 14 2020
20200819	ANF	Abercrombie & Fitch Company	industry	Retail (Apparel)
20200819	ANF	Abercrombie & Fitch Company	sector	Services
20200819	ANF	Abercrombie & Fitch Company	price	10.36
20200819	ANF	Abercrombie & Fitch Company	Prev. Close	10.36
