20200818,DDD,industry,3D Systems Corporation,Computer Peripherals
20200818,DDD,sector,3D Systems Corporation,Technology
20200818,DDD,price,3D Systems Corporation,5.81
20200818,DDD,Prev. Close,3D Systems Corporation,5.81
20200818,DDD,Day's Range,3D Systems Corporation,5.76 - 6.09
20200818,DDD,Revenue,3D Systems Corporation,566.61M
20200818,DDD,Open,3D Systems Corporation,6
20200818,DDD,52 wk Range,3D Systems Corporation,5.2 - 12.56
20200818,DDD,EPS,3D Systems Corporation,-0.68
20200818,DDD,Volume,3D Systems Corporation,2211653
20200818,DDD,Market Cap,3D Systems Corporation,695.5M
20200818,DDD,Dividend (Yield),3D Systems Corporation,N/A (N/A)
20200818,DDD,Average Vol. (3m),3D Systems Corporation,2137386
20200818,DDD,P/E Ratio,3D Systems Corporation,N/A
20200818,DDD,Beta,3D Systems Corporation,1.63
20200818,DDD,1-Year Change,3D Systems Corporation,-14.93%
20200818,DDD,Shares Outstanding,3D Systems Corporation,119708056
20200818,DDD,Next Earnings Date,3D Systems Corporation,Nov 03 2020
20200818,MMM,industry,3M Company,Constr. - Supplies & Fixtures
20200818,MMM,sector,3M Company,Capital Goods
20200818,MMM,price,3M Company,164.71
20200818,MMM,Prev. Close,3M Company,164.71
20200818,MMM,Day's Range,3M Company,163.65 - 166.37
20200818,MMM,Revenue,3M Company,31.35B
20200818,MMM,Open,3M Company,165.17
20200818,MMM,52 wk Range,3M Company,114.04 - 182.54
20200818,MMM,EPS,3M Company,8.82
20200818,MMM,Volume,3M Company,2068072
20200818,MMM,Market Cap,3M Company,94.88B
20200818,MMM,Dividend (Yield),3M Company,5.88 (3.54%)
20200818,MMM,Average Vol. (3m),3M Company,3075186
20200818,MMM,P/E Ratio,3M Company,18.83
20200818,MMM,Beta,3M Company,0.98
20200818,MMM,1-Year Change,3M Company,1.99%
20200818,MMM,Shares Outstanding,3M Company,576019442
20200818,MMM,Next Earnings Date,3M Company,Oct 27 2020
20200818,AAON,industry,AAON Inc,Misc. Capital Goods
20200818,AAON,sector,AAON Inc,Capital Goods
20200818,AAON,price,AAON Inc,59.47
20200818,AAON,Prev. Close,AAON Inc,59.47
20200818,AAON,Day's Range,AAON Inc,57.95 - 59.47
20200818,AAON,Revenue,AAON Inc,499.15M
20200818,AAON,Open,AAON Inc,58.03
20200818,AAON,52 wk Range,AAON Inc,40.48 - 61.09
20200818,AAON,EPS,AAON Inc,1.32
20200818,AAON,Volume,AAON Inc,183980
20200818,AAON,Market Cap,AAON Inc,3.11B
20200818,AAON,Dividend (Yield),AAON Inc,0.38 (0.66%)
20200818,AAON,Average Vol. (3m),AAON Inc,211811
20200818,AAON,P/E Ratio,AAON Inc,43.8
20200818,AAON,Beta,AAON Inc,0.72
20200818,AAON,1-Year Change,AAON Inc,26.34%
20200818,AAON,Shares Outstanding,AAON Inc,52261676
20200818,AAON,Next Earnings Date,AAON Inc,Oct 29 2020
20200818,ABT,industry,Abbott Laboratories,Medical Equipment & Supplies
20200818,ABT,sector,Abbott Laboratories,Healthcare
